ERV
English Revised Version
Genesis 1:1	In the beginning God created the heaven and the earth.
Numbers 11:24	And Moses went out, and told the people the words of the LORD: and he gathered seventy men of the elders of the people, and set them round about the Tent.
Numbers 11:25	And the LORD came down in the cloud, and spake unto him, and took of the spirit that was upon him, and put it upon the seventy elders: and it came to pass, that, when the spirit rested upon them, they prophesied, but they did so no more.
Numbers 11:26	But there remained two men in the camp, the name of the one was Eldad, and the name of the other Medad: and the spirit rested upon them; and they were of them that were written, but had not gone out unto the Tent: and they prophesied in the camp.
Numbers 11:27	And there ran a young man, and told Moses, and said, Eldad and Medad do prophesy in the camp.
Numbers 11:28	And Joshua the son of Nun, the minister of Moses, one of his chosen men, answered and said, My lord Moses, forbid them.
Numbers 11:29	And Moses said unto him, Art thou jealous for my sake? would God that all the LORD’S people were prophets, that the LORD would put his spirit upon them!
Numbers 11:30	And Moses gat him into the camp, he and the elders of Israel.
Numbers 11:31	And there went forth a wind from the LORD, and brought quails from the sea, and let them fall by the camp, about a day’s journey on this side, and a day’s journey on the other side, round about the camp, and about two cubits above the face of the earth.
Numbers 11:32	And the people rose up all that day, and all the night, and all the next day, and gathered the quails: he that gathered least gathered ten homers: and they spread them all abroad for themselves round about the camp.
Numbers 11:33	While the flesh was yet between their teeth, ere it was chewed, the anger of the LORD was kindled against the people, and the LORD smote the people with a very great plague.
Numbers 11:34	And the name of that place was called Kibroth-hattaavah: because there they buried the people that lusted.
Numbers 11:35	From Kibroth-hattaavah the people journeyed unto Hazeroth; and they abode at Hazeroth.
Numbers 12:1	And Miriam and Aaron spake against Moses because of the Cushite woman whom he had married: for he had married a Cushite woman.
Numbers 12:2	And they said, Hath the LORD indeed spoken only with Moses? hath he not spoken also with us? And the LORD heard it.
Numbers 12:3	Now the man Moses was very meek, above all the men which were upon the face of the earth.
Numbers 12:4	And the LORD spake suddenly unto Moses, and unto Aaron, and unto Miriam, Come out ye three unto the tent of meeting. And they three came out.
Numbers 12:5	And the LORD came down in a pillar of cloud, and stood at the door of the Tent, and called Aaron and Miriam: and they both came forth.
Numbers 12:6	And he said, Hear now my words: if there be a prophet among you, I the LORD will make myself known unto him in a vision, I will speak with him in a dream.
Numbers 12:7	My servant Moses is not so; he is faithful in all mine house:
Numbers 12:8	with him will I speak mouth to mouth, even manifestly, and not in dark speeches; and the form of the LORD shall he behold: wherefore then were ye not afraid to speak against my servant, against Moses?
Numbers 12:9	And the anger of the LORD was kindled against them; and he departed.
Numbers 12:10	And the cloud removed from over the Tent; and, behold, Miriam was leprous, as white as snow: and Aaron looked upon Miriam, and, behold, she was leprous.
Numbers 12:11	And Aaron said unto Moses, Oh my lord, lay not, I pray thee, sin upon us, for that we have done foolishly, and for that we have sinned.
Numbers 12:12	Let her not, I pray, be as one dead, of whom the flesh is half consumed when he cometh out of his mother’s womb.
Numbers 12:13	And Moses cried unto the LORD, saying, Heal her, O God, I beseech thee.
Numbers 12:14	And the LORD said unto Moses, If her father had but spit in her face, should she not be ashamed seven days? let her be shut up without the camp seven days, and after that she shall be brought in again.
Numbers 12:15	And Miriam was shut up without the camp seven days: and the people journeyed not till Miriam was brought in again.
Numbers 12:16	And afterward the people journeyed from Hazeroth, and pitched in the wilderness of Paran.
Numbers 13:1	And the LORD spake unto Moses, saying,
Numbers 13:2	Send thou men, that they may spy out the land of Canaan, which I give unto the children of Israel: of every tribe of their fathers shall ye send a man, every one a prince among them.
Numbers 13:3	And Moses sent them from the wilderness of Paran according to the commandment of the LORD: all of them men who were heads of the children of Israel.
Numbers 13:4	And these were their names: of the tribe of Reuben, Shammua the son of Zaccur.
Numbers 13:5	Of the tribe of Simeon, Shaphat the son of Hori.
Numbers 13:6	Of the tribe of Judah, Caleb the son of Jephunneh.
Numbers 13:7	Of the tribe of Issachar, Igal the son of Joseph.
Numbers 13:8	Of the tribe of Ephraim, Hoshea the son of Nun.
Numbers 13:9	Of the tribe of Benjamin, Palti the son of Raphu.
Numbers 13:10	Of the tribe of Zebulun, Gaddiel the son of Sodi.
Numbers 13:11	Of the tribe of Joseph, namely, of the tribe of Manasseh, Gaddi the son of Susi.
Numbers 13:12	Of the tribe of Dan, Ammiel the son of Gemalli.
Numbers 13:13	Of the tribe of Asher, Sethur the son of Michael.
Numbers 13:14	Of the tribe of Naphtali, Nahbi the son of Vophsi.
Numbers 13:15	Of the tribe of Gad, Geuel the son of Machi.
Numbers 13:16	These are the names of the men which Moses sent to spy out the land. And Moses called Hoshea the son of Nun Joshua.
Numbers 13:17	And Moses sent them to spy out the land of Canaan, and said unto them, Get you up this way by the South, and go up into the mountains:
Numbers 13:18	and see the land, what it is; and the people that dwelleth therein, whether they be strong or weak, whether they be few or many;
Numbers 13:19	and what the land is that they dwell in, whether it be good or bad; and what cities they be that they dwell in, whether in camps, or in strong holds;
Numbers 13:20	and what the land is, whether it be fat or lean, whether there be wood therein, or not. And be ye of good courage, and bring of the fruit of the land. Now the time was the time of the firstripe grapes.
Numbers 13:21	So they went up, and spied out the land from the wilderness of Zin unto Rehob, to the entering in of Hamath.
Numbers 13:22	And they went up by the South, and came unto Hebron; and Ahiman, Sheshai, and Talmai, the children of Anak, were there. (Now Hebron was built seven years before Zoan in Egypt.)
Numbers 13:23	And they came unto the valley of Eshcol, and cut down from thence a branch with one cluster of grapes, and they bare it upon a staff between two; they brought also of the pomegranates, and of the figs.
Numbers 13:24	That place was called the valley of Eshcol, because of the cluster which the children of Israel cut down from thence.
Numbers 13:25	And they returned from spying out the land at the end of forty days.
Numbers 13:26	And they went and came to Moses, and to Aaron, and to all the congregation of the children of Israel, unto the wilderness of Paran, to Kadesh; and brought back word unto them, and unto all the congregation, and shewed them the fruit of the land.
Numbers 13:27	And they told him, and said, We came unto the land whither thou sentest us, and surely it floweth with milk and honey; and this is the fruit of it.
Numbers 13:28	Howbeit the people that dwell in the land are strong, and the cities are fenced, and very great: and moreover we saw the children of Anak there.
